  5.50000E-01 -4.44721E+02 -9.73819E+01  1.00964E+02  9.71694E+00 -1.30399E-01 -2.65887E-02
  5.60000E-01 -4.43712E+02 -9.72843E+01  1.00979E+02  9.88506E+00 -1.31701E-01 -2.63521E-02
  5.70000E-01 -4.42702E+02 -9.71851E+01  1.00994E+02  1.00526E+01 -1.32995E-01 -2.61153E-02
  5.80000E-01 -4.41692E+02 -9.70841E+01  1.01009E+02  1.02195E+01 -1.34282E-01 -2.58782E-02
  5.90000E-01 -4.40682E+02 -9.69815E+01  1.01024E+02  1.03859E+01 -1.35561E-01 -2.56409E-02
  6.00000E-01 -4.39671E+02 -9.68772E+01  1.01039E+02  1.05516E+01 -1.36834E-01 -2.54033E-02
  6.10000E-01 -4.38661E+02 -9.67713E+01  1.01054E+02  1.07168E+01 -1.38100E-01 -2.51655E-02
  6.20000E-01 -4.37650E+02 -9.66637E+01  1.01069E+02  1.08814E+01 -1.39359E-01 -2.49274E-02
  6.30000E-01 -4.36640E+02 -9.65545E+01  1.01084E+02  1.10453E+01 -1.40612E-01 -2.46891E-02
  6.40000E-01 -4.35629E+02 -9.64436E+01  1.01098E+02  1.12087E+01 -1.41859E-01 -2.44505E-02
  6.49999E-01 -4.34618E+02 -9.63311E+01  1.01113E+02  1.13715E+01 -1.43099E-01 -2.42117E-02
  6.59999E-01 -4.33607E+02 -9.62170E+01  1.01128E+02  1.15337E+01 -1.44333E-01 -2.39725E-02
  6.69999E-01 -4.32595E+02 -9.61013E+01  1.01143E+02  1.16953E+01 -1.45559E-01 -2.37332E-02
  6.79999E-01 -4.31584E+02 -9.59839E+01  1.01157E+02  1.18563E+01 -1.46779E-01 -2.34936E-02
  6.89999E-01 -4.30572E+02 -9.58650E+01  1.01172E+02  1.20168E+01 -1.47992E-01 -2.32537E-02
  6.99999E-01 -4.29560E+02 -9.57444E+01  1.01187E+02  1.21766E+01 -1.49199E-01 -2.30135E-02
  7.09999E-01 -4.28548E+02 -9.56222E+01  1.01201E+02  1.23358E+01 -1.50398E-01 -2.27731E-02
  7.19999E-01 -4.27536E+02 -9.54985E+01  1.01216E+02  1.24945E+01 -1.51590E-01 -2.25324E-02
  7.29999E-01 -4.26524E+02 -9.53731E+01  1.01231E+02  1.26525E+01 -1.52775E-01 -2.22914E-02
  7.39999E-01 -4.25512E+02 -9.52462E+01  1.01245E+02  1.28100E+01 -1.53953E-01 -2.20502E-02
  7.49999E-01 -4.24499E+02 -9.51177E+01  1.01260E+02  1.29668E+01 -1.55124E-01 -2.18086E-02
  7.59999E-01 -4.23487E+02 -9.49877E+01  1.01275E+02  1.31230E+01 -1.56287E-01 -2.15669E-02
  7.69999E-01 -4.22474E+02 -9.48561E+01  1.01289E+02  1.32787E+01 -1.57444E-01 -2.13248E-02
  7.79999E-01 -4.21461E+02 -9.47229E+01  1.01304E+02  1.34337E+01 -1.58594E-01 -2.10825E-02
  7.89999E-01 -4.20448E+02 -9.45882E+01  1.01319E+02  1.35881E+01 -1.59736E-01 -2.08399E-02
  7.99999E-01 -4.19435E+02 -9.44519E+01  1.01334E+02  1.37420E+01 -1.60872E-01 -2.05970E-02
  8.09999E-01 -4.18421E+02 -9.43141E+01  1.01348E+02  1.38952E+01 -1.62000E-01 -2.03539E-02
  8.19999E-01 -4.17408E+02 -9.41748E+01  1.01363E+02  1.40478E+01 -1.63121E-01 -2.01105E-02
  8.29999E-01 -4.16394E+02 -9.40339E+01  1.01378E+02  1.41998E+01 -1.64235E-01 -1.98668E-02
  8.39999E-01 -4.15380E+02 -9.38915E+01  1.01393E+02  1.43512E+01 -1.65343E-01 -1.96228E-02
  8.49999E-01 -4.14366E+02 -9.37476E+01  1.01408E+02  1.45020E+01 -1.66443E-01 -1.93785E-02
  8.59999E-01 -4.13352E+02 -9.36022E+01  1.01423E+02  1.46522E+01 -1.67536E-01 -1.91340E-02
  8.69999E-01 -4.12338E+02 -9.34554E+01  1.01437E+02  1.48017E+01 -1.68621E-01 -1.88892E-02
  8.79999E-01 -4.11324E+02 -9.33070E+01  1.01452E+02  1.49507E+01 -1.69700E-01 -1.86441E-02
  8.89999E-01 -4.10309E+02 -9.31571E+01  1.01467E+02  1.50990E+01 -1.70772E-01 -1.83987E-02
  8.99999E-01 -4.09294E+02 -9.30057E+01  1.01483E+02  1.52467E+01 -1.71836E-01 -1.81531E-02
  9.09999E-01 -4.08279E+02 -9.28529E+01  1.01498E+02  1.53938E+01 -1.72894E-01 -1.79071E-02
  9.19999E-01 -4.07264E+02 -9.26986E+01  1.01513E+02  1.55403E+01 -1.73944E-01 -1.76609E-02
  9.29999E-01 -4.06249E+02 -9.25428E+01  1.01528E+02  1.56862E+01 -1.74987E-01 -1.74144E-02
  9.39999E-01 -4.05234E+02 -9.23856E+01  1.01543E+02  1.58314E+01 -1.76023E-01 -1.71676E-02
  9.49999E-01 -4.04219E+02 -9.22269E+01  1.01558E+02  1.59761E+01 -1.77052E-01 -1.69205E-02
  9.59999E-01 -4.03203E+02 -9.20668E+01  1.01574E+02  1.61201E+01 -1.78073E-01 -1.66731E-02
  9.69999E-01 -4.02187E+02 -9.19053E+01  1.01589E+02  1.62635E+01 -1.79088E-01 -1.64254E-02
  9.79999E-01 -4.01171E+02 -9.17423E+01  1.01605E+02  1.64062E+01 -1.80095E-01 -1.61775E-02
  9.89999E-01 -4.00155E+02 -9.15779E+01  1.01620E+02  1.65484E+01 -1.81095E-01 -1.59292E-02
