  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  8.39999E-01 -4.16115E+02 -9.61720E+01  9.96032E+01  8.89934E+00 -8.91113E-02 -3.22141E-02
  8.49999E-01 -4.15119E+02 -9.60827E+01  9.95946E+01  8.99554E+00 -9.00772E-02 -3.21394E-02
  8.59999E-01 -4.14123E+02 -9.59926E+01  9.95859E+01  9.09151E+00 -9.10408E-02 -3.20647E-02
  8.69999E-01 -4.13127E+02 -9.59014E+01  9.95771E+01  9.18724E+00 -9.20022E-02 -3.19900E-02
  8.79999E-01 -4.12132E+02 -9.58093E+01  9.95682E+01  9.28275E+00 -9.29613E-02 -3.19152E-02
  8.89999E-01 -4.11136E+02 -9.57162E+01  9.95593E+01  9.37802E+00 -9.39182E-02 -3.18405E-02
  8.99999E-01 -4.10140E+02 -9.56222E+01  9.95503E+01  9.47306E+00 -9.48729E-02 -3.17657E-02
  9.09999E-01 -4.09145E+02 -9.55272E+01  9.95412E+01  9.56787E+00 -9.58253E-02 -3.16910E-02
  9.19999E-01 -4.08150E+02 -9.54313E+01  9.95321E+01  9.66245E+00 -9.67754E-02 -3.16162E-02
  9.29999E-01 -4.07154E+02 -9.53345E+01  9.95229E+01  9.75679E+00 -9.77234E-02 -3.15415E-02
  9.39999E-01 -4.06159E+02 -9.52367E+01  9.95136E+01  9.85090E+00 -9.86691E-02 -3.14667E-02
  9.49999E-01 -4.05164E+02 -9.51379E+01  9.95043E+01  9.94478E+00 -9.96125E-02 -3.13919E-02
  9.59999E-01 -4.04169E+02 -9.50382E+01  9.94949E+01  1.00384E+01 -1.00554E-01 -3.13171E-02
  9.69999E-01 -4.03174E+02 -9.49376E+01  9.94854E+01  1.01319E+01 -1.01493E-01 -3.12423E-02
  9.79999E-01 -4.02179E+02 -9.48361E+01  9.94759E+01  1.02250E+01 -1.02429E-01 -3.11675E-02
  9.89999E-01 -4.01184E+02 -9.47336E+01  9.94663E+01  1.03180E+01 -1.03364E-01 -3.10927E-02
  9.99999E-01 -4.00190E+02 -9.46302E+01  9.94566E+01  1.04107E+01 -1.04296E-01 -3.10179E-02
  1.01000E+00 -3.99195E+02 -9.45258E+01  9.94469E+01  1.05032E+01 -1.05226E-01 -3.09431E-02
  1.02000E+00 -3.98201E+02 -9.44206E+01  9.94371E+01  1.05954E+01 -1.06154E-01 -3.08683E-02
  1.03000E+00 -3.97206E+02 -9.43144E+01  9.94272E+01  1.06875E+01 -1.07079E-01 -3.07935E-02
  1.04000E+00 -3.96212E+02 -9.42073E+01  9.94173E+01  1.07793E+01 -1.08002E-01 -3.07186E-02
  1.05000E+00 -3.95218E+02 -9.40993E+01  9.94074E+01  1.08708E+01 -1.08923E-01 -3.06438E-02
  1.06000E+00 -3.94224E+02 -9.39903E+01  9.93973E+01  1.09621E+01 -1.09842E-01 -3.05689E-02
  1.07000E+00 -3.93230E+02 -9.38805E+01  9.93873E+01  1.10532E+01 -1.10759E-01 -3.04941E-02
  1.08000E+00 -3.92236E+02 -9.37697E+01  9.93771E+01  1.11441E+01 -1.11673E-01 -3.04192E-02
  1.09000E+00 -3.91242E+02 -9.36581E+01  9.93669E+01  1.12347E+01 -1.12585E-01 -3.03444E-02
  1.10000E+00 -3.90249E+02 -9.35455E+01  9.93566E+01  1.13251E+01 -1.13495E-01 -3.02695E-02
  1.11000E+00 -3.89255E+02 -9.34320E+01  9.93463E+01  1.14153E+01 -1.14402E-01 -3.01946E-02
  1.12000E+00 -3.88262E+02 -9.33176E+01  9.93359E+01  1.15052E+01 -1.15308E-01 -3.01198E-02
  1.13000E+00 -3.87268E+02 -9.32024E+01  9.93255E+01  1.15949E+01 -1.16211E-01 -3.00449E-02
  1.14000E+00 -3.86275E+02 -9.30862E+01  9.93150E+01  1.16844E+01 -1.17111E-01 -2.99700E-02
  1.15000E+00 -3.85282E+02 -9.29691E+01  9.93045E+01  1.17736E+01 -1.18010E-01 -2.98951E-02
  1.16000E+00 -3.84289E+02 -9.28512E+01  9.92939E+01  1.18626E+01 -1.18906E-01 -2.98202E-02
  1.17000E+00 -3.83296E+02 -9.27323E+01  9.92833E+01  1.19514E+01 -1.19800E-01 -2.97453E-02
  1.18000E+00 -3.82303E+02 -9.26126E+01  9.92726E+01  1.20399E+01 -1.20692E-01 -2.96704E-02
  1.19000E+00 -3.81311E+02 -9.24920E+01  9.92618E+01  1.21282E+01 -1.21582E-01 -2.95955E-02
  1.20000E+00 -3.80318E+02 -9.23705E+01  9.92510E+01  1.22163E+01 -1.22469E-01 -2.95205E-02
  1.21000E+00 -3.79326E+02 -9.22481E+01  9.92402E+01  1.23041E+01 -1.23354E-01 -2.94456E-02
  1.22000E+00 -3.78333E+02 -9.21248E+01  9.92293E+01  1.23917E+01 -1.24237E-01 -2.93707E-02
  1.23000E+00 -3.77341E+02 -9.20007E+01  9.92183E+01  1.24791E+01 -1.25117E-01 -2.92957E-02
  1.24000E+00 -3.76349E+02 -9.18757E+01  9.92073E+01  1.25663E+01 -1.25996E-01 -2.92208E-02
  1.25000E+00 -3.75357E+02 -9.17498E+01  9.91963E+01  1.26532E+01 -1.26872E-01 -2.91459E-02
  1.26000E+00 -3.74365E+02 -9.16231E+01  9.91852E+01  1.27398E+01 -1.27746E-01 -2.90709E-02
  1.27000E+00 -3.73373E+02 -9.14955E+01  9.91740E+01  1.28263E+01 -1.28617E-01 -2.89959E-02
  1.28000E+00 -3.72381E+02 -9.13670E+01  9.91628E+01  1.29125E+01 -1.29486E-01 -2.89210E-02
  1.29000E+00 -3.71390E+02 -9.12376E+01  9.91516E+01  1.29985E+01 -1.30353E-01 -2.88460E-02
  1.30000E+00 -3.70398E+02 -9.11074E+01  9.91403E+01  1.30842E+01 -1.31218E-01 -2.87710E-02
  1.31000E+00 -3.69407E+02 -9.09764E+01  9.91290E+01  1.31697E+01 -1.32081E-01 -2.86961E-02
  1.32000E+00 -3.68416E+02 -9.08445E+01  9.91176E+01  1.32550E+01 -1.32941E-01 -2.86211E-02
  1.33000E+00 -3.67424E+02 -9.07117E+01  9.91062E+01  1.33400E+01 -1.33799E-01 -2.85461E-02
  1.34000E+00 -3.66433E+02 -9.05781E+01  9.90948E+01  1.34249E+01 -1.34655E-01 -2.84711E-02
  1.35000E+00 -3.65442E+02 -9.04436E+01  9.90833E+01  1.35094E+01 -1.35509E-01 -2.83961E-02
  1.36000E+00 -3.64452E+02 -9.03083E+01  9.90717E+01  1.35938E+01 -1.36360E-01 -2.83211E-02
  1.37000E+00 -3.63461E+02 -9.01722E+01  9.90602E+01  1.36779E+01 -1.37209E-01 -2.82461E-02
  1.38000E+00 -3.62470E+02 -9.00352E+01  9.90485E+01  1.37618E+01 -1.38056E-01 -2.81711E-02
  1.39000E+00 -3.61480E+02 -8.98974E+01  9.90369E+01  1.38454E+01 -1.38900E-01 -2.80961E-02
  1.40000E+00 -3.60490E+02 -8.97587E+01  9.90252E+01  1.39288E+01 -1.39743E-01 -2.80211E-02
  1.41000E+00 -3.59499E+02 -8.96192E+01  9.90135E+01  1.40120E+01 -1.40583E-01 -2.79460E-02
  1.42000E+00 -3.58509E+02 -8.94789E+01  9.90017E+01  1.40950E+01 -1.41421E-01 -2.78710E-02
  1.43000E+00 -3.57519E+02 -8.93377E+01  9.89899E+01  1.41777E+01 -1.42256E-01 -2.77960E-02
  1.44000E+00 -3.56530E+02 -8.91957E+01  9.89780E+01  1.42602E+01 -1.43090E-01 -2.77209E-02
  1.45000E+00 -3.55540E+02 -8.90529E+01  9.89661E+01  1.43424E+01 -1.43921E-01 -2.76459E-02
  1.46000E+00 -3.54550E+02 -8.89093E+01  9.89542E+01  1.44244E+01 -1.44749E-01 -2.75709E-02
  1.47000E+00 -3.53561E+02 -8.87648E+01  9.89423E+01  1.45062E+01 -1.45576E-01 -2.74958E-02
  1.48000E+00 -3.52571E+02 -8.86196E+01  9.89303E+01  1.45878E+01 -1.46400E-01 -2.74208E-02
  1.49000E+00 -3.51582E+02 -8.84735E+01  9.89182E+01  1.46691E+01 -1.47222E-01 -2.73457E-02
  1.50000E+00 -3.50593E+02 -8.83266E+01  9.89062E+01  1.47502E+01 -1.48042E-01 -2.72707E-02
  1.51000E+00 -3.49604E+02 -8.81789E+01  9.88941E+01  1.48311E+01 -1.48860E-01 -2.71956E-02
  1.52000E+00 -3.48615E+02 -8.80304E+01  9.88820E+01  1.49117E+01 -1.49675E-01 -2.71205E-02
  1.53000E+00 -3.47626E+02 -8.78811E+01  9.88698E+01  1.49921E+01 -1.50488E-01 -2.70455E-02
  1.54000E+00 -3.46637E+02 -8.77309E+01  9.88576E+01  1.50722E+01 -1.51299E-01 -2.69704E-02
  1.55000E+00 -3.45649E+02 -8.75800E+01  9.88454E+01  1.51522E+01 -1.52107E-01 -2.68953E-02
  1.56000E+00 -3.44660E+02 -8.74283E+01  9.88331E+01  1.52318E+01 -1.52914E-01 -2.68202E-02
  1.57000E+00 -3.43672E+02 -8.72758E+01  9.88209E+01  1.53113E+01 -1.53718E-01 -2.67452E-02
  1.58000E+00 -3.42684E+02 -8.71225E+01  9.88086E+01  1.53905E+01 -1.54520E-01 -2.66701E-02
  1.59000E+00 -3.41696E+02 -8.69684E+01  9.87962E+01  1.54695E+01 -1.55319E-01 -2.65950E-02
  1.60000E+00 -3.40708E+02 -8.68135E+01  9.87839E+01  1.55483E+01 -1.56116E-01 -2.65199E-02
  1.61000E+00 -3.39720E+02 -8.66578E+01  9.87715E+01  1.56268E+01 -1.56911E-01 -2.64448E-02
  1.62000E+00 -3.38732E+02 -8.65014E+01  9.87590E+01  1.57051E+01 -1.57704E-01 -2.63697E-02
  1.63000E+00 -3.37745E+02 -8.63441E+01  9.87466E+01  1.57832E+01 -1.58495E-01 -2.62946E-02
  1.64000E+00 -3.36757E+02 -8.61861E+01  9.87341E+01  1.58610E+01 -1.59283E-01 -2.62195E-02
  1.65000E+00 -3.35770E+02 -8.60273E+01  9.87216E+01  1.59386E+01 -1.60069E-01 -2.61444E-02
  1.66000E+00 -3.34783E+02 -8.58677E+01  9.87091E+01  1.60160E+01 -1.60853E-01 -2.60693E-02
  1.67000E+00 -3.33796E+02 -8.57073E+01  9.86966E+01  1.60931E+01 -1.61634E-01 -2.59941E-02
  1.68000E+00 -3.32809E+02 -8.55462E+01  9.86840E+01  1.61700E+01 -1.62414E-01 -2.59190E-02
  1.69000E+00 -3.31822E+02 -8.53843E+01  9.86714E+01  1.62467E+01 -1.63191E-01 -2.58439E-02
  1.70000E+00 -3.30835E+02 -8.52217E+01  9.86588E+01  1.63232E+01 -1.63965E-01 -2.57687E-02
  1.71000E+00 -3.29849E+02 -8.50582E+01  9.86461E+01  1.63994E+01 -1.64738E-01 -2.56936E-02
  1.72000E+00 -3.28862E+02 -8.48941E+01  9.86335E+01  1.64753E+01 -1.65508E-01 -2.56184E-02
  1.73000E+00 -3.27876E+02 -8.47291E+01  9.86208E+01  1.65511E+01 -1.66276E-01 -2.55433E-02
  1.74000E+00 -3.26890E+02 -8.45634E+01  9.86081E+01  1.66266E+01 -1.67042E-01 -2.54681E-02
  1.75000E+00 -3.25904E+02 -8.43970E+01  9.85954E+01  1.67019E+01 -1.67805E-01 -2.53930E-02
  1.76000E+00 -3.24918E+02 -8.42298E+01  9.85826E+01  1.67769E+01 -1.68566E-01 -2.53178E-02
  1.77000E+00 -3.23932E+02 -8.40618E+01  9.85699E+01  1.68517E+01 -1.69325E-01 -2.52427E-02
  1.78000E+00 -3.22946E+02 -8.38931E+01  9.85571E+01  1.69263E+01 -1.70082E-01 -2.51675E-02
  1.79000E+00 -3.21961E+02 -8.37236E+01  9.85443E+01  1.70007E+01 -1.70837E-01 -2.50924E-02
  1.80000E+00 -3.20975E+02 -8.35535E+01  9.85315E+01  1.70748E+01 -1.71589E-01 -2.50172E-02
  1.81000E+00 -3.19990E+02 -8.33825E+01  9.85186E+01  1.71487E+01 -1.72339E-01 -2.49420E-02
  1.82000E+00 -3.19005E+02 -8.32108E+01  9.85058E+01  1.72224E+01 -1.73086E-01 -2.48669E-02
  1.83000E+00 -3.18020E+02 -8.30384E+01  9.84929E+01  1.72958E+01 -1.73832E-01 -2.47917E-02
  1.84000E+00 -3.17035E+02 -8.28653E+01  9.84800E+01  1.73690E+01 -1.74575E-01 -2.47165E-02
  1.85000E+00 -3.16050E+02 -8.26914E+01  9.84671E+01  1.74419E+01 -1.75316E-01 -2.46413E-02
  1.86000E+00 -3.15066E+02 -8.25168E+01  9.84542E+01  1.75147E+01 -1.76055E-01 -2.45661E-02
  1.87000E+00 -3.14081E+02 -8.23415E+01  9.84413E+01  1.75872E+01 -1.76791E-01 -2.44910E-02
  1.88000E+00 -3.13097E+02 -8.21654E+01  9.84284E+01  1.76594E+01 -1.77525E-01 -2.44158E-02
  1.89000E+00 -3.12112E+02 -8.19887E+01  9.84154E+01  1.77315E+01 -1.78257E-01 -2.43406E-02
  1.90000E+00 -3.11128E+02 -8.18112E+01  9.84025E+01  1.78033E+01 -1.78987E-01 -2.42654E-02
  1.91000E+00 -3.10144E+02 -8.16330E+01  9.83895E+01  1.78748E+01 -1.79714E-01 -2.41902E-02
  1.92000E+00 -3.09160E+02 -8.14540E+01  9.83765E+01  1.79462E+01 -1.80439E-01 -2.41150E-02
  1.93000E+00 -3.08177E+02 -8.12744E+01  9.83635E+01  1.80173E+01 -1.81162E-01 -2.40398E-02
  1.94000E+00 -3.07193E+02 -8.10940E+01  9.83505E+01  1.80882E+01 -1.81883E-01 -2.39646E-02
  1.95000E+00 -3.06210E+02 -8.09130E+01  9.83375E+01  1.81588E+01 -1.82601E-01 -2.38894E-02
