  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  4.54000E+00 -5.54029E+01 -1.68402E+01  9.57510E+01  2.88400E+01 -2.92556E-01 -4.36713E-03
  4.55000E+00 -5.44454E+01 -1.65518E+01  9.57472E+01  2.88525E+01 -2.92686E-01 -4.29179E-03
  4.56000E+00 -5.34880E+01 -1.62632E+01  9.57435E+01  2.88648E+01 -2.92814E-01 -4.21642E-03
  4.57000E+00 -5.25306E+01 -1.59745E+01  9.57399E+01  2.88768E+01 -2.92940E-01 -4.14100E-03
  4.58000E+00 -5.15732E+01 -1.56857E+01  9.57363E+01  2.88887E+01 -2.93064E-01 -4.06564E-03
  4.59000E+00 -5.06159E+01 -1.53968E+01  9.57328E+01  2.89003E+01 -2.93185E-01 -3.99021E-03
  4.60000E+00 -4.96585E+01 -1.51078E+01  9.57294E+01  2.89117E+01 -2.93304E-01 -3.91491E-03
  4.61000E+00 -4.87013E+01 -1.48187E+01  9.57260E+01  2.89229E+01 -2.93421E-01 -3.83955E-03
  4.62000E+00 -4.77440E+01 -1.45294E+01  9.57227E+01  2.89339E+01 -2.93536E-01 -3.76411E-03
  4.63000E+00 -4.67868E+01 -1.42400E+01  9.57194E+01  2.89446E+01 -2.93648E-01 -3.68862E-03
  4.64000E+00 -4.58297E+01 -1.39506E+01  9.57162E+01  2.89552E+01 -2.93758E-01 -3.61321E-03
  4.65000E+00 -4.48725E+01 -1.36610E+01  9.57131E+01  2.89655E+01 -2.93866E-01 -3.53772E-03
  4.66000E+00 -4.39154E+01 -1.33713E+01  9.57101E+01  2.89756E+01 -2.93972E-01 -3.46228E-03
  4.67000E+00 -4.29583E+01 -1.30816E+01  9.57071E+01  2.89855E+01 -2.94075E-01 -3.38678E-03
  4.68000E+00 -4.20013E+01 -1.27917E+01  9.57041E+01  2.89951E+01 -2.94176E-01 -3.31135E-03
  4.69000E+00 -4.10443E+01 -1.25017E+01  9.57013E+01  2.90046E+01 -2.94275E-01 -3.23582E-03
  4.70000E+00 -4.00873E+01 -1.22117E+01  9.56985E+01  2.90138E+01 -2.94371E-01 -3.16041E-03
  4.71000E+00 -3.91303E+01 -1.19215E+01  9.56957E+01  2.90229E+01 -2.94466E-01 -3.08491E-03
  4.72000E+00 -3.81734E+01 -1.16313E+01  9.56931E+01  2.90317E+01 -2.94558E-01 -3.00941E-03
  4.73000E+00 -3.72165E+01 -1.13409E+01  9.56905E+01  2.90402E+01 -2.94647E-01 -2.93401E-03
  4.74000E+00 -3.62596E+01 -1.10505E+01  9.56879E+01  2.90486E+01 -2.94735E-01 -2.85850E-03
  4.75000E+00 -3.53028E+01 -1.07600E+01  9.56854E+01  2.90568E+01 -2.94820E-01 -2.78311E-03
  4.76000E+00 -3.43459E+01 -1.04694E+01  9.56830E+01  2.90647E+01 -2.94903E-01 -2.70756E-03
  4.77000E+00 -3.33891E+01 -1.01788E+01  9.56807E+01  2.90724E+01 -2.94984E-01 -2.63223E-03
  4.78000E+00 -3.24324E+01 -9.88802E+00  9.56784E+01  2.90799E+01 -2.95062E-01 -2.55687E-03
  4.79000E+00 -3.14756E+01 -9.59720E+00  9.56762E+01  2.90872E+01 -2.95138E-01 -2.48133E-03
  4.80000E+00 -3.05189E+01 -9.30632E+00  9.56740E+01  2.90943E+01 -2.95212E-01 -2.40595E-03
  4.81000E+00 -2.95621E+01 -9.01536E+00  9.56720E+01  2.91011E+01 -2.95284E-01 -2.33068E-03
  4.82000E+00 -2.86054E+01 -8.72434E+00  9.56699E+01  2.91078E+01 -2.95353E-01 -2.25508E-03
  4.83000E+00 -2.76487E+01 -8.43325E+00  9.56680E+01  2.91142E+01 -2.95420E-01 -2.17969E-03
  4.84000E+00 -2.66921E+01 -8.14210E+00  9.56661E+01  2.91204E+01 -2.95485E-01 -2.10436E-03
  4.85000E+00 -2.57354E+01 -7.85088E+00  9.56643E+01  2.91264E+01 -2.95548E-01 -2.02905E-03
  4.86000E+00 -2.47788E+01 -7.55961E+00  9.56625E+01  2.91321E+01 -2.95608E-01 -1.95363E-03
  4.87000E+00 -2.38222E+01 -7.26828E+00  9.56608E+01  2.91377E+01 -2.95666E-01 -1.87830E-03
  4.88000E+00 -2.28656E+01 -6.97689E+00  9.56592E+01  2.91430E+01 -2.95722E-01 -1.80303E-03
  4.89000E+00 -2.19091E+01 -6.68546E+00  9.56576E+01  2.91481E+01 -2.95775E-01 -1.72752E-03
  4.90000E+00 -2.09525E+01 -6.39396E+00  9.56562E+01  2.91530E+01 -2.95826E-01 -1.65240E-03
  4.91000E+00 -1.99960E+01 -6.10243E+00  9.56547E+01  2.91577E+01 -2.95875E-01 -1.57699E-03
  4.92000E+00 -1.90394E+01 -5.81084E+00  9.56534E+01  2.91622E+01 -2.95922E-01 -1.50144E-03
  4.93000E+00 -1.80829E+01 -5.51922E+00  9.56521E+01  2.91665E+01 -2.95967E-01 -1.42593E-03
  4.94000E+00 -1.71264E+01 -5.22754E+00  9.56508E+01  2.91705E+01 -2.96009E-01 -1.35056E-03
  4.95000E+00 -1.61699E+01 -4.93584E+00  9.56497E+01  2.91743E+01 -2.96049E-01 -1.27514E-03
  4.96000E+00 -1.52134E+01 -4.64409E+00  9.56486E+01  2.91779E+01 -2.96087E-01 -1.19976E-03
  4.97000E+00 -1.42570E+01 -4.35231E+00  9.56475E+01  2.91813E+01 -2.96122E-01 -1.12413E-03
  4.98000E+00 -1.33005E+01 -4.06049E+00  9.56466E+01  2.91845E+01 -2.96155E-01 -1.04891E-03
  4.99000E+00 -1.23441E+01 -3.76865E+00  9.56457E+01  2.91875E+01 -2.96186E-01 -9.73533E-04
  5.00000E+00 -1.13876E+01 -3.47677E+00  9.56448E+01  2.91902E+01 -2.96215E-01 -8.98309E-04
  5.01000E+00 -1.04312E+01 -3.18487E+00  9.56441E+01  2.91927E+01 -2.96241E-01 -8.23011E-04
  5.02000E+00 -9.47479E+00 -2.89294E+00  9.56434E+01  2.91950E+01 -2.96265E-01 -7.47852E-04
  5.03000E+00 -8.51839E+00 -2.60099E+00  9.56427E+01  2.91971E+01 -2.96287E-01 -6.72649E-04
  5.04000E+00 -7.56197E+00 -2.30901E+00  9.56421E+01  2.91990E+01 -2.96307E-01 -5.97026E-04
  5.05000E+00 -6.60558E+00 -2.01703E+00  9.56416E+01  2.92006E+01 -2.96324E-01 -5.22359E-04
  5.06000E+00 -5.64917E+00 -1.72502E+00  9.56412E+01  2.92021E+01 -2.96339E-01 -4.46977E-04
  5.07000E+00 -4.69279E+00 -1.43301E+00  9.56408E+01  2.92033E+01 -2.96352E-01 -3.72664E-04
  5.08000E+00 -3.73638E+00 -1.14097E+00  9.56405E+01  2.92043E+01 -2.96363E-01 -2.97430E-04
  5.09000E+00 -2.78001E+00 -8.48936E-01  9.56403E+01  2.92051E+01 -2.96371E-01 -2.22132E-04
  5.10000E+00 -1.82361E+00 -5.56883E-01  9.56401E+01  2.92057E+01 -2.96377E-01 -1.51091E-04
  5.11000E+00 -8.67244E-01 -2.64836E-01  9.56400E+01  2.92061E+01 -2.96381E-01 -8.35082E-05
  5.12000E+00  8.91559E-02  2.72260E-02  9.56399E+01  2.92064E+01 -2.96384E-01 -3.62154E-03
